toss_winner_is_team1,toss_decision,venue,team1_win_rate,team2_win_rate,win_rate_diff,recent_form_diff,h2h_diff,experience_diff
0,0,36,0.4380165289256198,0.5083333333333333,-0.07031680440771348,-2,-0.8,1
1,0,51,0.5905511811023622,0.4426229508196721,0.14792823028269003,1,0.1,5
1,0,14,0.5041322314049587,0.5859375,-0.08180526859504134,0,-0.9,-7
0,1,16,0.3898305084745763,0.45081967213114754,-0.060989163656571255,1,-0.5,-4
0,0,22,0.53125,0.5,0.03125,2,-0.3,-58
1,0,22,0.5891472868217055,0.5040650406504065,0.085082246171299,1,1.0,6
0,0,51,0.5923076923076923,0.6017699115044248,-0.009462219196732513,1,0.2,17
0,0,35,0.3865546218487395,0.44715447154471544,-0.06059984969597593,-3,-0.2,-4
0,0,14,0.45528455284552843,0.5,-0.044715447154471566,-1,-0.2,-1
0,0,39,0.504950495049505,0.5230769230769231,-0.01812642802741815,-1,0.1,36
0,0,25,0.504,0.6052631578947368,-0.10126315789473683,-1,-0.4,11
0,0,43,0.5,0.38333333333333336,0.11666666666666664,0,0.4,-18
0,0,39,0.5877862595419847,0.5303030303030303,0.057483229238954436,-1,0.0,65
0,0,24,0.45161290322580644,0.45161290322580644,0.0,4,0.4,0
0,0,51,0.5833333333333334,0.38016528925619836,0.203168044077135,1,0.2,11
0,0,14,0.5,0.5373134328358209,-0.03731343283582089,-1,0.4,59
0,0,24,0.5048543689320388,0.456,0.048854368932038816,0,-0.1,-22
0,0,35,0.448,0.6086956521739131,-0.16069565217391307,1,-0.3,10
0,0,14,0.49606299212598426,0.38524590163934425,0.11081709048664001,1,0.5,5
0,0,51,0.5789473684210527,0.4523809523809524,0.12656641604010027,0,0.5,7
0,0,43,0.5096153846153846,0.5,0.009615384615384581,1,0.3,-24
1,1,35,0.4523809523809524,0.5441176470588235,-0.0917366946778711,0,-0.6,58
0,0,29,0.603448275862069,0.5047619047619047,0.0986863711001642,1,0.5,11
0,0,14,0.5038759689922481,0.4566929133858268,0.047183055606421276,-1,0.7,2
0,0,24,0.3821138211382114,0.44881889763779526,-0.06670507649958385,-1,-0.6,-4
0,0,39,0.6068376068376068,0.5362318840579711,0.07060572277963573,0,0.2,48
1,1,43,0.582089552238806,0.5,0.08208955223880599,0,0.4,28
0,0,0,0.4609375,0.3790322580645161,0.08190524193548387,3,0.3,4
0,0,51,0.5285714285714286,0.5777777777777777,-0.04920634920634914,2,0.1,-65
0,0,24,0.453125,0.6101694915254238,-0.15704449152542377,-2,-0.5,10
0,0,39,0.5352112676056338,0.46511627906976744,0.07009498853586632,-1,0.5,-58
0,0,0,0.376,0.5,-0.124,-1,-0.6,-5
0,0,29,0.6134453781512605,0.5735294117647058,0.0399159663865547,3,-0.1,-17
1,1,43,0.5416666666666666,0.5046728971962616,0.036993769470405,0,0.0,-35
0,0,24,0.4496124031007752,0.4961832061068702,-0.04657080300609501,0,-0.3,-2
0,0,29,0.6083333333333333,0.38095238095238093,0.22738095238095235,1,0.6,-6
0,0,24,0.4461538461538462,0.5766423357664233,-0.13048848961257714,-1,-0.6,-7
0,0,0,0.3779527559055118,0.5,-0.1220472440944882,-1,-0.5,19
0,0,14,0.6115702479338843,0.5,0.11157024793388426,1,0.5,-11
0,0,19,0.46153846153846156,0.572463768115942,-0.11092530657748045,2,0.0,-8
0,0,29,0.45038167938931295,0.6065573770491803,-0.15617569765986739,-1,-0.6,9
1,1,39,0.3828125,0.547945205479452,-0.16513270547945202,-1,-0.2,55
0,0,51,0.5755395683453237,0.5037593984962406,0.07178016984908309,-1,1.1,6
0,0,19,0.4954128440366973,0.4580152671755725,0.03739757686112477,-2,0.3,-22
0,0,39,0.5540540540540541,0.44696969696969696,0.1070843570843571,2,0.2,-58
1,1,43,0.4909090909090909,0.4621212121212121,0.028787878787878807,-2,0.2,-22
0,0,14,0.5785714285714286,0.5,0.07857142857142863,1,1.2,6
1,1,0,0.3798449612403101,0.56,-0.18015503875968997,-3,-0.3,54
1,1,43,0.6097560975609756,0.4954954954954955,0.11426060206548011,1,0.6,12
0,0,19,0.4962962962962963,0.45864661654135336,0.03764967975494293,0,0.6,2
0,0,0,0.3769230769230769,0.44360902255639095,-0.06668594563331404,1,-0.7,-3
0,0,29,0.5657894736842105,0.6048387096774194,-0.039049235993208864,3,-0.3,-48
0,0,51,0.5815602836879432,0.5,0.08156028368794321,2,0.3,29
0,0,19,0.4552238805970149,0.44776119402985076,0.007462686567164145,-1,0.3,0
0,0,14,0.504424778761062,0.5,0.004424778761061954,0,0.2,-23
0,0,51,0.5774647887323944,0.45185185185185184,0.12561293688054254,2,0.1,7
0,0,24,0.45185185185185184,0.5584415584415584,-0.10658970658970657,-1,-0.3,58
0,0,0,0.37404580152671757,0.608,-0.23395419847328242,-2,-0.7,6
1,1,43,0.5,0.45588235294117646,0.04411764705882354,0,0.0,-22
1,1,39,0.5512820512820513,0.5036496350364964,0.04763241624555492,0,-0.3,-59
1,1,0,0.3787878787878788,0.5804195804195804,-0.20163170163170163,-2,-0.1,-11
0,0,29,0.4485294117647059,0.6031746031746031,-0.15464519140989724,-1,-0.2,10
0,0,51,0.5443037974683544,0.6062992125984252,-0.061995415130070786,-1,-0.4,-48
0,0,14,0.5072463768115942,0.5043478260869565,0.0028985507246377384,-1,-0.1,23
0,0,14,0.5375,0.5107913669064749,0.026708633093525114,-3,-0.4,-59
0,0,51,0.5432098765432098,0.609375,-0.06616512345679015,-2,-0.5,-47
0,0,25,0.45255474452554745,0.6124031007751938,-0.15984835624964633,-1,-0.7,8
0,0,14,0.5365853658536586,0.5071428571428571,0.02944250871080145,-3,-0.3,-58
0,0,51,0.38345864661654133,0.5763888888888888,-0.1929302422723475,-1,0.0,-11
0,0,43,0.44525547445255476,0.5,-0.054744525547445244,-3,-0.3,21
1,1,0,0.3880597014925373,0.6153846153846154,-0.2273249138920781,-1,-0.6,4
0,0,14,0.5106382978723404,0.4492753623188406,0.06136293555349981,3,0.7,3
0,0,24,0.5724137931034483,0.4492753623188406,0.12313843078460773,-1,0.5,7
1,1,39,0.49572649572649574,0.5301204819277109,-0.03439398620121514,1,-0.1,34
0,0,35,0.5753424657534246,0.4460431654676259,0.12929930028579872,1,0.2,7
0,0,0,0.5140845070422535,0.3851851851851852,0.12889932185706832,1,0.5,7
0,0,39,0.5357142857142857,0.4460431654676259,0.0896711202466598,0,0.2,-55
0,0,25,0.6183206106870229,0.4915254237288136,0.12679518695820935,4,0.5,13
0,0,35,0.45,0.3897058823529412,0.06029411764705883,-2,0.4,4
0,0,43,0.44285714285714284,0.48739495798319327,-0.04453781512605043,0,-0.1,21
0,0,51,0.5714285714285714,0.6212121212121212,-0.04978354978354982,-3,0.2,15
0,0,0,0.38686131386861317,0.5411764705882353,-0.1543151567196221,0,-0.4,52
0,0,24,0.4397163120567376,0.5104895104895105,-0.07077319843277291,-3,-0.4,-2
1,1,25,0.6165413533834586,0.45390070921985815,0.16264064416360047,1,0.3,-8
0,0,39,0.5743243243243243,0.5465116279069767,0.027812696417347627,-1,-0.2,62
0,0,24,0.43661971830985913,0.38405797101449274,0.05256174729536639,-2,0.8,4
0,0,43,0.49166666666666664,0.5138888888888888,-0.0222222222222222,-2,0.0,-24
0,0,35,0.5402298850574713,0.4507042253521127,0.08952565970535858,0,0.6,-55
0,0,25,0.5172413793103449,0.6194029850746269,-0.10216160576428202,0,-0.4,11
